Company	Website url	Social url	Town	Industry	Main Tier	Sub tier	Date Added
(Arbuthnott Community Association) Lewis Grassic Gibbon Centre	https://r.search.yahoo.com/cbclk2/dWU9QUM0NDM3NDY2OURBNDNBRSZ1dD0xNjI3NTM3MzM5MjkwJnVvPTgyMzI2MTkzMDQyOTU2Jmx0PTImcz0xJmVzPXdJTWxIZklHUFMuaWYwenRzcVhkZF92VEh0Y1NMdkRyYk0zOUYxZWZFUS0t/RV=2/RE=1627566139/RO=10/RU=https://www.bing.com/aclick?ld=e8WKHc9KBca3tiRYmIfxKpEzVUCUyu6mEKhqvYWeBE7R6D3VM6KMFm34XGMUHcDXcW0Icq4hU7XspOqAwzrDWGh0qoZQtn7_kmzfp5ZaFemgclz3f_Gk6_EhfaIRBsWeIqU3kP8cigbljZWz9ffJ5EQarrycDldxvn0AyErJGgFdfQ5hY7I8TtuJH8MHJLu5BbhR6x1A&u=aHR0cHMlM2ElMmYlMmZoaXZlYnJpdGUuY29tJTJmJTNmdXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkTG9uZ3RhaWxrZXl3b3JkcyUyNnV0bV90ZXJtJTNkY29tbXVuaXR5JTI1MjBhc3NvY2lhdGlvbiUyNnV0bV90ZXJtJTNkY29tbXVuaXR5JTI1MjBhc3NvY2lhdGlvbiUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNnV0bV9jYW1wYWlnbiUzZExvbmd0YWlsa2V5d29yZHMlMjZoc2FfYWNjJTNkNjIxMjY2NTY1NCUyNmhzYV9jYW0lM2Q4OTc3Nzk2NTAlMjZoc2FfZ3JwJTNkMTMxNzIxNjA4ODIyMjU0OCUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC04MjMyNjU2MDMxNDc3MiUzYWxvYy0xODglMjZoc2Ffa3clM2Rjb21tdW5pdHklMjUyMGFzc29jaWF0aW9uJTI2aHNhX210JTNkcCUyNmhzYV9uZXQlM2RhZHdvcmRzJTI2aHNhX3ZlciUzZDMlMjZtc2Nsa2lkJTNkYzkzMjQ2ZjMzZTEyMWU2NTc4MDIyN2YxMDFhOTVjZTI&rlid=c93246f33e121e65780227f101a95ce2/RK=2/RS=ZpZetqHXobcIp99SAr5pjN9BfT4-;_ylc=cnQDMQ--?IG=0ac9ec9773f54b0c920000000027636c		Laurencekirk	Others	Worker (A rating),Temporary Worker (A rating)	Skilled Worker,Voluntary Workers	28/07/2021
@ Architect UK Ltd	https://r.search.yahoo.com/cbclk2/dWU9RDVDRTlBREM4NzRFNDkyOCZ1dD0xNjI4ODc4NTQwMzg2JnVvPTc0OTA0MzIyMDE0OTE3Jmx0PTImcz0xJmVzPURsd0haN0FHUFNfLjJFUTE1TGZ5alEwWF9qYzF0cGR5MUdULjI3Lk4-/RV=2/RE=1628907340/RO=10/RU=https://www.bing.com/aclick?ld=e8udsK9Uhq4mX4Ben0PQJFfTVUCUw0AfJF3X-eDSldIVBp1AYCEHIUfB7kvIMvJPSZ7XO8V39I4TsLjHWQU7k0Dt2hrZUGXBEDYceMPyPTzb2473bzfbib3SVHL1_CCRIBtW7hre4J9N_2947P1vJ52n0p3chDYLn66ZPNNPO0VG156X-8kqMjDkXpPNqKb0xWYFGspw&u=aHR0cHMlM2ElMmYlMmZ3d3cubXlidWlsZGVyLmNvbSUyZnBvc3Rham9iJTNmdHJhZGVfaWQlM2Q5MCUyNmFkZ3JvdXBfaWQlM2RhcmNoaXRlY3RzJTI2bG9jYXRpb24lM2R1ayUyNm1zY2xraWQlM2RmN2JkM2I1YWJkNzMxZTUyNjZhOTVhNGMwYmJmMDBmNyUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNnV0bV9jYW1wYWlnbiUzZDItQXJjaGl0ZWN0c19BcmNoJTI1MjNfTG9jJTI2dXRtX3Rlcm0lM2QlMjUyQkFyY2hpdGVjdCUyNTIwJTI1MkJ1ayUyNnV0bV9jb250ZW50JTNkQWxsJTI1MjBMb2NhdGlvbnNfMi1BcmNoaXRlY3RzX0FyY2glMjUyM19Mb2MlMjUyMC0&rlid=f7bd3b5abd731e5266a95a4c0bbf00f7/RK=2/RS=tOKm38jNzPCJgaQgVocGHAhkzPc-;_ylc=cnQDMQ--?IG=0ac4d7de0ea94f9f8300000000880c43		West Horndon	Architecture	Worker (A rating)	Skilled Worker	13/08/2021
@ Home Accommodation Services Ltd	https://www.homeaccommodation.co.uk/		London	Legal	Temporary Worker (A rating),Worker (A rating)	Creative & Sporting, Skilled Worker	04/08/2013
[AI] INFINITI LIMITED	https://r.search.yahoo.com/cbclk2/dWU9QzcxRUM4RjI5RTRENDZERiZ1dD0xNjE3ODE5MzM0MDQxJnVvPTc3NjUzMTU5OTIzNzk3Jmx0PTImcz0xJmVzPVFlcU1CZEVHUFNfUUpXNlllTXpla3pmazByN0xUVDcwYTdqZEVEYVg-/RV=2/RE=1617848134/RO=10/RU=https://www.bing.com/aclick?ld=e8DKBwZoQcbeaiu2zOv6Rj4DVUCUy7we9emHhE8pF5D06TkMtNF3khkVmwRdkbTIeSILEYRHb9D2Gkuz5T3ekIRoXqGI4pA4Drw5Ght9FAkVh8M_8_XM0oFfJCX6i6zqjM7zuvdCyB8keHlHsJpAo7ID2SuxFzooh_Dhzvx3DLj7PA7rwwYY3ChEU47dUjelmJmZyb5A&u=aHR0cCUzYSUyZiUyZmNsaWNrc2VydmUuZGFydHNlYXJjaC5uZXQlMmZsaW5rJTJmY2xpY2slM2ZsaWQlM2Q0MzcwMDA1NjA4NTY1Mzg1MiUyNmRzX3Nfa3dnaWQlM2Q1ODcwMDAwNjIxMTY4MDkwOCUyNmRzX2FfY2lkJTNkNTM1NTIyNTA5JTI2ZHNfYV9jYWlkJTNkMTA2OTU0NzE4MTIlMjZkc19hX2FnaWQlM2QxMDg1NDA2OTU1MTQlMjZkc19hX2xpZCUzZGt3ZC0xOTg4ODMwMDgxJTI2JTI2ZHNfZV9hZGlkJTNkNzc2NTMxNTk5MjM3OTclMjZkc19lX3RhcmdldF9pZCUzZGt3ZC03NzY1MzI5NjkwNDM3MCUyNiUyNmRzX3VybF92JTNkMiUyNmRzX2Rlc3RfdXJsJTNkaHR0cHMlM2ElMmYlMmZ3d3cuYnJpc3RvbHN0cmVldC5jby51ayUyZnVzZWQtY2FycyUyZnVzZWQtaW5maW5pdGklMmYlM2ZnY2xpZCUzZDQ3MjEwNjdhYWNiMTE0ZjBmNTczNjYxNzVhNzc5YTk0JTI2Z2Nsc3JjJTNkM3AuZHMlMjYlMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2RCU01fSHl1bmRhaSUyNTIwUGV0ZXJsZWVfTm9uLUJyYW5kX0Jyb2FkJTI2dXRtX3Rlcm0lM2QlMjUyQmluZmluaXRpJTI2dXRtX2NvbnRlbnQlM2RPdGhlciUyNTIwLSUyNTIwSW5maW5pdGk&rlid=4721067aacb114f0f57366175a779a94/RK=2/RS=KaXndK2Z1Eu_CCSDqrxk7Ll594Q-;_ylc=cnQDMQ--?IG=0ac9ec9a76cf4992ae00000000372380		Croydon	Computer Programming	Worker (A rating)	Skilled Worker	07/04/2021
]performance s p a c e [	https://www.performancespace.org/		Folkestone	Others	Temporary Worker (A rating)	Creative & Sporting	09/10/2014
01 ACCOUNTING SERVICES LTD	https://r.search.yahoo.com/cbclk2/dWU9MzYyMDYwRDJGRTI1NDA3RiZ1dD0xNjI3NTM3MzQyNTg3JnVvPTgxMzYzOTI0NzM4NTE2Jmx0PTImcz0xJmVzPW8xQ3A1MkVHUFM5X1RGTzIuWWRTdjNHd0dMSDdCR0dUUEg5QU4yNlA2QS0t/RV=2/RE=1627566142/RO=10/RU=https://www.bing.com/aclick?ld=e8M1O_xY8_mmPyV3uQLYfrIjVUCUz93sB98Q8coVDqfsI35CTAxTgi-7O_dXGnzpQYRJbvFcudPr9IlJKJ2J8yd2AoJsmCHTbk2zYXLOk9FHX3caBU9HY3WSvzs43XB3eqC6x5HyFTp2MUkrYny632xsbbxdh-eNK982ZhI5JhgdNYgOaTlc_xbBT1eduaQa5Wezevag&u=aHR0cHMlM2ElMmYlMmY2MjYyMjM5LmV4dGZvcm1zLm5ldHN1aXRlLmNvbSUyZmFwcCUyZnNpdGUlMmZjcm0lMmZleHRlcm5hbGxlYWRwYWdlLm5sJTJmY29tcGlkLjYyNjIyMzklMmYuZiUzZmZvcm1pZCUzZDEzMjAlMjZoJTNkQUFGZGlrYUktYk1wNk5jelhDQ3JlVEhqWW9IQk9JUF8wU1VvTXMxRjFlOHltX0tXWDZvJTI2bGVhZHNvdXJjZSUzZE1VSzEzMDRQMTMxMTlETCUyNmNpZCUzZHBwY19tdWtfYWNjb3VudGluZyUyNm1zY2xraWQlM2Q4OWQ5NzFlNGU3MjUxN2YzM2RiMTEwZTZkODliZWNiNw&rlid=89d971e4e72517f33db110e6d89becb7/RK=2/RS=mILJN_SUn864ScYFcGmVdkC.0Dw-;_ylc=cnQDMQ--?IG=0ac4d71781164a48a900000000d9c055		LONDON	Legal	Worker (A rating)	Skilled Worker	28/07/2021
012 Global Ltd	https://012-global.com/		London	Education	Worker (A rating)	Skilled Worker	16/10/2020
1 Digitals Europe Limited	http://1digitals.com/		Slough	Computer Programming	Worker (A rating)	Skilled Worker	12/03/2020
1 minus 1 Limited	https://1minus1.com/		Farnham	Computer Programming	Worker (A rating)	Skilled Worker	27/07/2018
1 Stop Halal Limited	https://www.express.co.uk/news/uk/748780/Halal-poultry-firm-1stop-halal-boiled-chickens-alive		Eye	Food & Accomodation	Worker (A rating)	Skilled Worker	24/10/2018
1 Stop Print Ltd	https://www.allinlondon.co.uk/directory/1255/120537.php		Ilford	Manufacturing	Worker (A rating)	Skilled Worker	25/06/2014
10 Europe Limited	https://findit.scotsman.com/company/438070190161920		Edinburgh	Architecture	Worker (A rating),Worker (A rating)	Skilled Worker, Intra-company Routes	03/05/2014
